Device: cuda
============================================================
Semi-Supervised Spatial Heterogeneous Graph Encoder
============================================================
  hidden=128, layers=2, heads=4
  epochs=250, lr=0.001, amp=False
  λ: recon=1.0 align=0.3 spatial=0.2 gp=1.0 rna=0.5 atac=0.5
  svd=True dim=100
  cluster_mode=joint_all
  label_ratio=0.3 label_seed=0
  [Joint_clusters HELD OUT for evaluation]

----------------------------------------
Loading graph data... (device: cuda)
  Running TruncatedSVD (dim=100)...
    Spot RNA (13775 x 10192)... explained=0.127
    Spot ATAC (13775 x 16864)... explained=0.969
    Gene (10192 x 13775)... explained=0.286
    Peak (16864 x 13775)... explained=0.998
  Pre-computing edge expression values...
    Spot-Gene (gene→spot): 688,748 edges
    Spot-Peak (peak→spot): 2,755,000 edges

  Nodes: 13775 spots + 10192 genes + 16864 peaks = 40831
  Edges: SS=39,972  SG=1,377,496  SP=5,510,000  GP=10,562
  RNA cls/TP: [14, 9, 11]  ATAC cls/TP: [8, 9, 14]
  Joint eval spots: 4560 / 13775
  Feature dims: rna=100 atac=100 gene=100 peak=100
  GPU: NVIDIA GeForce RTX 5070 Ti (17.1 GB)

----------------------------------------
Creating model (with cluster heads)...
  Encoder params: 850,818
[semi-sup] label_ratio=0.3, seed=0
          RNA labels kept  4058/13775
          ATAC labels kept 4058/13775

============================================================
Computing initial node embeddings...
  h0: torch.Size([40831, 128]), device: cuda:0
Epoch    1 | Loss 33.5903 | R=17.672 A=9.634 S=13.449 GP=2.772 r=7.686 a=7.446
  E13  | NMI=0.2478 AMI=0.2397 ARI=0.1598 FMI=0.2838 MI=0.5115 ACC=0.3411
  P21  | NMI=0.2647 AMI=0.2552 ARI=0.1770 FMI=0.2754 MI=0.6017 ACC=0.3670
  avg  | NMI=0.2563 AMI=0.2474 ARI=0.1684 FMI=0.2796 MI=0.5566 ACC=0.3541
Epoch    2 | Loss 17.9421 | R=1.541 A=9.554 S=10.970 GP=3.928 r=7.434 a=7.391
Epoch    3 | Loss 22.5428 | R=7.103 A=9.518 S=9.245 GP=3.548 r=7.243 a=7.133
Epoch    4 | Loss 17.6566 | R=3.228 A=9.503 S=7.595 GP=3.053 r=7.056 a=6.956
Epoch    5 | Loss 14.1260 | R=1.453 A=9.481 S=6.778 GP=1.618 r=6.937 a=6.773
  E13  | NMI=0.3292 AMI=0.3237 ARI=0.2134 FMI=0.3378 MI=0.6701 ACC=0.4088
  P21  | NMI=0.4085 AMI=0.4004 ARI=0.3334 FMI=0.4275 MI=0.8615 ACC=0.5516
  avg  | NMI=0.3688 AMI=0.3621 ARI=0.2734 FMI=0.3827 MI=0.7658 ACC=0.4802
Epoch    6 | Loss 13.4717 | R=1.341 A=9.457 S=6.337 GP=1.300 r=6.815 a=6.637
Epoch    7 | Loss 12.9734 | R=1.400 A=9.441 S=5.970 GP=0.918 r=6.724 a=6.534
Epoch    8 | Loss 12.2633 | R=0.965 A=9.425 S=5.647 GP=0.787 r=6.646 a=6.463
Epoch    9 | Loss 12.0439 | R=0.852 A=9.401 S=5.327 GP=0.815 r=6.579 a=6.402
Epoch   10 | Loss 11.9513 | R=1.100 A=9.366 S=5.061 GP=0.583 r=6.547 a=6.346
  E13  | NMI=0.3573 AMI=0.3513 ARI=0.2317 FMI=0.3441 MI=0.7525 ACC=0.4426
  P21  | NMI=0.3878 AMI=0.3798 ARI=0.3035 FMI=0.4094 MI=0.8008 ACC=0.4842
  avg  | NMI=0.3726 AMI=0.3655 ARI=0.2676 FMI=0.3767 MI=0.7766 ACC=0.4634
Epoch   20 | Loss 10.2546 | R=0.459 A=7.585 S=4.010 GP=0.445 r=6.344 a=6.202
  E13  | NMI=0.3303 AMI=0.3247 ARI=0.2128 FMI=0.3386 MI=0.6715 ACC=0.4065
  P21  | NMI=0.4152 AMI=0.4072 ARI=0.3236 FMI=0.4181 MI=0.8888 ACC=0.5394
  avg  | NMI=0.3728 AMI=0.3660 ARI=0.2682 FMI=0.3783 MI=0.7802 ACC=0.4729
Epoch   30 | Loss 9.0558 | R=0.336 A=5.156 S=4.068 GP=0.285 r=6.144 a=6.004
  E13  | NMI=0.3246 AMI=0.3187 ARI=0.2187 FMI=0.3268 MI=0.6894 ACC=0.3900
  P21  | NMI=0.3962 AMI=0.3881 ARI=0.2974 FMI=0.3934 MI=0.8545 ACC=0.4926
  avg  | NMI=0.3604 AMI=0.3534 ARI=0.2581 FMI=0.3601 MI=0.7719 ACC=0.4413
Epoch   40 | Loss 8.2311 | R=0.283 A=3.626 S=4.004 GP=0.235 r=5.874 a=5.774
  E13  | NMI=0.3042 AMI=0.2966 ARI=0.1938 FMI=0.2997 MI=0.6536 ACC=0.3704
  P21  | NMI=0.4278 AMI=0.4203 ARI=0.3279 FMI=0.4230 MI=0.9067 ACC=0.5360
  avg  | NMI=0.3660 AMI=0.3585 ARI=0.2608 FMI=0.3613 MI=0.7802 ACC=0.4532
Epoch   50 | Loss 7.5620 | R=0.262 A=2.466 S=4.093 GP=0.197 r=5.556 a=5.535
  E13  | NMI=0.3386 AMI=0.3303 ARI=0.2154 FMI=0.3137 MI=0.7466 ACC=0.3631
  P21  | NMI=0.4133 AMI=0.4060 ARI=0.3296 FMI=0.4178 MI=0.8950 ACC=0.5166
  avg  | NMI=0.3759 AMI=0.3682 ARI=0.2725 FMI=0.3658 MI=0.8208 ACC=0.4399
Epoch   60 | Loss 7.0040 | R=0.240 A=1.788 S=4.161 GP=0.177 r=5.207 a=5.230
  E13  | NMI=0.3695 AMI=0.3577 ARI=0.2407 FMI=0.3303 MI=0.8385 ACC=0.4102
  P21  | NMI=0.4392 AMI=0.4320 ARI=0.3478 FMI=0.4391 MI=0.9353 ACC=0.5238
  avg  | NMI=0.4043 AMI=0.3949 ARI=0.2942 FMI=0.3847 MI=0.8869 ACC=0.4670
Epoch   70 | Loss 6.4947 | R=0.243 A=1.380 S=4.408 GP=0.160 r=4.752 a=4.840
  E13  | NMI=0.3863 AMI=0.3752 ARI=0.2531 FMI=0.3411 MI=0.8789 ACC=0.4284
  P21  | NMI=0.4403 AMI=0.4334 ARI=0.3427 FMI=0.4269 MI=0.9683 ACC=0.5023
  avg  | NMI=0.4133 AMI=0.4043 ARI=0.2979 FMI=0.3840 MI=0.9236 ACC=0.4654
Epoch   80 | Loss 6.0291 | R=0.238 A=1.224 S=4.633 GP=0.143 r=4.273 a=4.434
  E13  | NMI=0.4068 AMI=0.3946 ARI=0.2728 FMI=0.3580 MI=0.9403 ACC=0.4568
  P21  | NMI=0.4750 AMI=0.4677 ARI=0.3600 FMI=0.4398 MI=1.0641 ACC=0.4964
  avg  | NMI=0.4409 AMI=0.4312 ARI=0.3164 FMI=0.3989 MI=1.0022 ACC=0.4766
Epoch   90 | Loss 5.5878 | R=0.228 A=0.980 S=4.843 GP=0.129 r=3.864 a=4.073
  E13  | NMI=0.4138 AMI=0.4012 ARI=0.2712 FMI=0.3646 MI=0.9371 ACC=0.4522
  P21  | NMI=0.4858 AMI=0.4783 ARI=0.3726 FMI=0.4501 MI=1.1113 ACC=0.4922
  avg  | NMI=0.4498 AMI=0.4397 ARI=0.3219 FMI=0.4074 MI=1.0242 ACC=0.4722
Epoch  100 | Loss 5.2513 | R=0.212 A=0.868 S=4.751 GP=0.121 r=3.568 a=3.846
  E13  | NMI=0.4156 AMI=0.4028 ARI=0.2784 FMI=0.3691 MI=0.9500 ACC=0.4673
  P21  | NMI=0.4906 AMI=0.4830 ARI=0.3992 FMI=0.4744 MI=1.1133 ACC=0.5070
  avg  | NMI=0.4531 AMI=0.4429 ARI=0.3388 FMI=0.4217 MI=1.0316 ACC=0.4871
Epoch  110 | Loss 5.0292 | R=0.217 A=0.812 S=4.745 GP=0.112 r=3.347 a=3.668
  E13  | NMI=0.4219 AMI=0.4094 ARI=0.2860 FMI=0.3765 MI=0.9636 ACC=0.4710
  P21  | NMI=0.4979 AMI=0.4905 ARI=0.4211 FMI=0.4940 MI=1.1278 ACC=0.5225
  avg  | NMI=0.4599 AMI=0.4500 ARI=0.3535 FMI=0.4353 MI=1.0457 ACC=0.4968
Epoch  120 | Loss 4.8047 | R=0.201 A=0.720 S=4.688 GP=0.100 r=3.176 a=3.524
  E13  | NMI=0.4284 AMI=0.4159 ARI=0.2969 FMI=0.3867 MI=0.9782 ACC=0.4691
  P21  | NMI=0.5092 AMI=0.5019 ARI=0.4320 FMI=0.5035 MI=1.1579 ACC=0.5398
  avg  | NMI=0.4688 AMI=0.4589 ARI=0.3644 FMI=0.4451 MI=1.0680 ACC=0.5045
Epoch  130 | Loss 4.7084 | R=0.197 A=0.679 S=4.648 GP=0.096 r=3.104 a=3.460
  E13  | NMI=0.4382 AMI=0.4265 ARI=0.2941 FMI=0.3827 MI=1.0049 ACC=0.4801
  P21  | NMI=0.5193 AMI=0.5124 ARI=0.4510 FMI=0.5205 MI=1.1729 ACC=0.5634
  avg  | NMI=0.4787 AMI=0.4695 ARI=0.3725 FMI=0.4516 MI=1.0889 ACC=0.5218
Epoch  140 | Loss 4.5498 | R=0.188 A=0.601 S=4.694 GP=0.092 r=2.960 a=3.341
  E13  | NMI=0.4364 AMI=0.4239 ARI=0.2925 FMI=0.3806 MI=1.0078 ACC=0.4641
  P21  | NMI=0.5147 AMI=0.5075 ARI=0.4421 FMI=0.5127 MI=1.1660 ACC=0.5373
  avg  | NMI=0.4756 AMI=0.4657 ARI=0.3673 FMI=0.4466 MI=1.0869 ACC=0.5007
Epoch  150 | Loss 4.4327 | R=0.185 A=0.560 S=4.648 GP=0.088 r=2.864 a=3.259
  E13  | NMI=0.4434 AMI=0.4314 ARI=0.3055 FMI=0.3899 MI=1.0235 ACC=0.4710
  P21  | NMI=0.5217 AMI=0.5148 ARI=0.4442 FMI=0.5144 MI=1.1897 ACC=0.5731
  avg  | NMI=0.4826 AMI=0.4731 ARI=0.3749 FMI=0.4522 MI=1.1066 ACC=0.5220
Epoch  160 | Loss 4.3223 | R=0.183 A=0.538 S=4.637 GP=0.079 r=2.779 a=3.162
  E13  | NMI=0.4487 AMI=0.4367 ARI=0.3073 FMI=0.3843 MI=1.0617 ACC=0.4751
  P21  | NMI=0.5260 AMI=0.5196 ARI=0.4758 FMI=0.5428 MI=1.1795 ACC=0.5799
  avg  | NMI=0.4874 AMI=0.4781 ARI=0.3916 FMI=0.4636 MI=1.1206 ACC=0.5275
Epoch  170 | Loss 4.2512 | R=0.193 A=0.515 S=4.616 GP=0.079 r=2.706 a=3.098
  E13  | NMI=0.4566 AMI=0.4446 ARI=0.3075 FMI=0.3911 MI=1.0592 ACC=0.4897
  P21  | NMI=0.5276 AMI=0.5212 ARI=0.4618 FMI=0.5304 MI=1.1822 ACC=0.5617
