Device: cuda
============================================================
Semi-Supervised Spatial Heterogeneous Graph Encoder
============================================================
  hidden=128, layers=2, heads=4
  epochs=250, lr=0.001, amp=False
  λ: recon=1.0 align=0.3 spatial=0.2 gp=1.0 rna=0.5 atac=0.5
  svd=True dim=100
  cluster_mode=joint_all
  label_ratio=0.5 label_seed=0
  [Joint_clusters HELD OUT for evaluation]

----------------------------------------
Loading graph data... (device: cuda)
  Running TruncatedSVD (dim=100)...
    Spot RNA (13775 x 10192)... explained=0.127
    Spot ATAC (13775 x 16864)... explained=0.969
    Gene (10192 x 13775)... explained=0.286
    Peak (16864 x 13775)... explained=0.998
  Pre-computing edge expression values...
    Spot-Gene (gene→spot): 688,748 edges
    Spot-Peak (peak→spot): 2,755,000 edges

  Nodes: 13775 spots + 10192 genes + 16864 peaks = 40831
  Edges: SS=39,972  SG=1,377,496  SP=5,510,000  GP=10,562
  RNA cls/TP: [14, 9, 11]  ATAC cls/TP: [8, 9, 14]
  Joint eval spots: 4560 / 13775
  Feature dims: rna=100 atac=100 gene=100 peak=100
  GPU: NVIDIA GeForce RTX 5070 Ti (17.1 GB)

----------------------------------------
Creating model (with cluster heads)...
  Encoder params: 850,818
[semi-sup] label_ratio=0.5, seed=0
          RNA labels kept  6828/13775
          ATAC labels kept 6828/13775

============================================================
Computing initial node embeddings...
  h0: torch.Size([40831, 128]), device: cuda:0
Epoch    1 | Loss 33.5936 | R=17.672 A=9.634 S=13.449 GP=2.772 r=7.684 a=7.454
  E13  | NMI=0.2577 AMI=0.2492 ARI=0.1683 FMI=0.2912 MI=0.5327 ACC=0.3484
  P21  | NMI=0.2356 AMI=0.2259 ARI=0.1572 FMI=0.2584 MI=0.5313 ACC=0.3654
  avg  | NMI=0.2466 AMI=0.2375 ARI=0.1627 FMI=0.2748 MI=0.5320 ACC=0.3569
Epoch    2 | Loss 17.9369 | R=1.541 A=9.554 S=10.972 GP=3.928 r=7.430 a=7.383
Epoch    3 | Loss 22.5270 | R=7.087 A=9.518 S=9.256 GP=3.548 r=7.234 a=7.137
Epoch    4 | Loss 17.6529 | R=3.226 A=9.502 S=7.604 GP=3.052 r=7.048 a=6.960
Epoch    5 | Loss 14.1321 | R=1.457 A=9.481 S=6.785 GP=1.618 r=6.925 a=6.788
  E13  | NMI=0.3306 AMI=0.3251 ARI=0.2141 FMI=0.3402 MI=0.6712 ACC=0.4051
  P21  | NMI=0.4131 AMI=0.4050 ARI=0.3311 FMI=0.4264 MI=0.8717 ACC=0.5525
  avg  | NMI=0.3718 AMI=0.3651 ARI=0.2726 FMI=0.3833 MI=0.7715 ACC=0.4788
Epoch    6 | Loss 13.4768 | R=1.335 A=9.457 S=6.340 GP=1.303 r=6.818 a=6.649
Epoch    7 | Loss 12.9792 | R=1.401 A=9.441 S=5.972 GP=0.917 r=6.721 a=6.546
Epoch    8 | Loss 12.2645 | R=0.963 A=9.425 S=5.648 GP=0.789 r=6.640 a=6.470
Epoch    9 | Loss 12.0437 | R=0.848 A=9.401 S=5.329 GP=0.813 r=6.580 a=6.414
Epoch   10 | Loss 11.9492 | R=1.094 A=9.366 S=5.064 GP=0.582 r=6.538 a=6.365
  E13  | NMI=0.3299 AMI=0.3244 ARI=0.2112 FMI=0.3387 MI=0.6686 ACC=0.4037
  P21  | NMI=0.4136 AMI=0.4055 ARI=0.3242 FMI=0.4214 MI=0.8742 ACC=0.5381
  avg  | NMI=0.3717 AMI=0.3650 ARI=0.2677 FMI=0.3800 MI=0.7714 ACC=0.4709
Epoch   20 | Loss 10.2093 | R=0.454 A=7.585 S=4.013 GP=0.402 r=6.338 a=6.212
  E13  | NMI=0.3333 AMI=0.3271 ARI=0.2181 FMI=0.3272 MI=0.7074 ACC=0.4111
  P21  | NMI=0.4210 AMI=0.4136 ARI=0.3286 FMI=0.4231 MI=0.8959 ACC=0.5440
  avg  | NMI=0.3771 AMI=0.3704 ARI=0.2734 FMI=0.3752 MI=0.8016 ACC=0.4776
Epoch   30 | Loss 9.1431 | R=0.343 A=5.305 S=4.050 GP=0.312 r=6.150 a=6.022
  E13  | NMI=0.3231 AMI=0.3174 ARI=0.2046 FMI=0.3278 MI=0.6601 ACC=0.3827
  P21  | NMI=0.4056 AMI=0.3977 ARI=0.2976 FMI=0.3933 MI=0.8798 ACC=0.5120
  avg  | NMI=0.3643 AMI=0.3576 ARI=0.2511 FMI=0.3605 MI=0.7699 ACC=0.4474
Epoch   40 | Loss 8.3236 | R=0.296 A=3.774 S=4.064 GP=0.240 r=5.890 a=5.795
  E13  | NMI=0.3250 AMI=0.3179 ARI=0.2172 FMI=0.3155 MI=0.7140 ACC=0.3745
  P21  | NMI=0.4139 AMI=0.4062 ARI=0.3197 FMI=0.4152 MI=0.8800 ACC=0.5145
  avg  | NMI=0.3694 AMI=0.3620 ARI=0.2685 FMI=0.3653 MI=0.7970 ACC=0.4445
Epoch   50 | Loss 7.6529 | R=0.268 A=2.616 S=4.062 GP=0.203 r=5.603 a=5.566
  E13  | NMI=0.3364 AMI=0.3279 ARI=0.2169 FMI=0.3146 MI=0.7419 ACC=0.3896
  P21  | NMI=0.4215 AMI=0.4141 ARI=0.3305 FMI=0.4247 MI=0.8927 ACC=0.5188
  avg  | NMI=0.3790 AMI=0.3710 ARI=0.2737 FMI=0.3696 MI=0.8173 ACC=0.4542
Epoch   60 | Loss 7.0765 | R=0.242 A=1.823 S=4.170 GP=0.189 r=5.263 a=5.266
  E13  | NMI=0.3678 AMI=0.3566 ARI=0.2326 FMI=0.3154 MI=0.8634 ACC=0.3690
  P21  | NMI=0.4324 AMI=0.4259 ARI=0.3369 FMI=0.4366 MI=0.8915 ACC=0.5259
  avg  | NMI=0.4001 AMI=0.3913 ARI=0.2848 FMI=0.3760 MI=0.8774 ACC=0.4475
Epoch   70 | Loss 6.5881 | R=0.248 A=1.420 S=4.428 GP=0.169 r=4.827 a=4.891
  E13  | NMI=0.3857 AMI=0.3736 ARI=0.2652 FMI=0.3544 MI=0.8734 ACC=0.4440
  P21  | NMI=0.4493 AMI=0.4422 ARI=0.3191 FMI=0.4044 MI=1.0021 ACC=0.4838
  avg  | NMI=0.4175 AMI=0.4079 ARI=0.2922 FMI=0.3794 MI=0.9378 ACC=0.4639
Epoch   80 | Loss 6.0942 | R=0.228 A=1.202 S=4.599 GP=0.146 r=4.374 a=4.507
  E13  | NMI=0.4073 AMI=0.3945 ARI=0.2682 FMI=0.3617 MI=0.9203 ACC=0.4604
  P21  | NMI=0.4816 AMI=0.4742 ARI=0.3626 FMI=0.4422 MI=1.0812 ACC=0.4981
  avg  | NMI=0.4445 AMI=0.4343 ARI=0.3154 FMI=0.4020 MI=1.0007 ACC=0.4793
Epoch   90 | Loss 5.6707 | R=0.219 A=1.006 S=4.701 GP=0.132 r=3.988 a=4.167
  E13  | NMI=0.4151 AMI=0.4015 ARI=0.2743 FMI=0.3650 MI=0.9498 ACC=0.4623
  P21  | NMI=0.4928 AMI=0.4855 ARI=0.3869 FMI=0.4633 MI=1.1167 ACC=0.5145
  avg  | NMI=0.4539 AMI=0.4435 ARI=0.3306 FMI=0.4141 MI=1.0333 ACC=0.4884
Epoch  100 | Loss 5.3651 | R=0.211 A=0.939 S=4.690 GP=0.123 r=3.686 a=3.936
  E13  | NMI=0.4222 AMI=0.4090 ARI=0.2808 FMI=0.3717 MI=0.9651 ACC=0.4696
  P21  | NMI=0.4868 AMI=0.4794 ARI=0.4011 FMI=0.4769 MI=1.0950 ACC=0.5011
  avg  | NMI=0.4545 AMI=0.4442 ARI=0.3410 FMI=0.4243 MI=1.0301 ACC=0.4853
Epoch  110 | Loss 5.1201 | R=0.214 A=0.774 S=4.653 GP=0.114 r=3.482 a=3.778
  E13  | NMI=0.4335 AMI=0.4199 ARI=0.2953 FMI=0.3840 MI=0.9987 ACC=0.4733
  P21  | NMI=0.5032 AMI=0.4961 ARI=0.4343 FMI=0.5056 MI=1.1424 ACC=0.5306
  avg  | NMI=0.4683 AMI=0.4580 ARI=0.3648 FMI=0.4448 MI=1.0705 ACC=0.5019
Epoch  120 | Loss 4.9208 | R=0.199 A=0.724 S=4.579 GP=0.101 r=3.324 a=3.651
  E13  | NMI=0.4436 AMI=0.4306 ARI=0.2940 FMI=0.3832 MI=1.0235 ACC=0.4755
  P21  | NMI=0.5078 AMI=0.5007 ARI=0.4394 FMI=0.5102 MI=1.1532 ACC=0.5327
  avg  | NMI=0.4757 AMI=0.4656 ARI=0.3667 FMI=0.4467 MI=1.0884 ACC=0.5041
Epoch  130 | Loss 4.7508 | R=0.197 A=0.620 S=4.604 GP=0.097 r=3.181 a=3.519
  E13  | NMI=0.4386 AMI=0.4252 ARI=0.3022 FMI=0.3802 MI=1.0431 ACC=0.4554
  P21  | NMI=0.5278 AMI=0.5212 ARI=0.4606 FMI=0.5296 MI=1.1778 ACC=0.5714
  avg  | NMI=0.4832 AMI=0.4732 ARI=0.3814 FMI=0.4549 MI=1.1105 ACC=0.5134
Epoch  140 | Loss 4.6226 | R=0.183 A=0.577 S=4.601 GP=0.092 r=3.085 a=3.425
  E13  | NMI=0.4434 AMI=0.4307 ARI=0.3130 FMI=0.3899 MI=1.0482 ACC=0.4604
  P21  | NMI=0.5327 AMI=0.5262 ARI=0.4670 FMI=0.5350 MI=1.1920 ACC=0.5731
  avg  | NMI=0.4880 AMI=0.4784 ARI=0.3900 FMI=0.4625 MI=1.1201 ACC=0.5168
Epoch  150 | Loss 4.4969 | R=0.184 A=0.534 S=4.546 GP=0.087 r=2.976 a=3.337
  E13  | NMI=0.4418 AMI=0.4289 ARI=0.3027 FMI=0.3797 MI=1.0535 ACC=0.4481
  P21  | NMI=0.5319 AMI=0.5252 ARI=0.4633 FMI=0.5318 MI=1.1877 ACC=0.5731
  avg  | NMI=0.4868 AMI=0.4771 ARI=0.3830 FMI=0.4558 MI=1.1206 ACC=0.5106
Epoch  160 | Loss 4.4314 | R=0.192 A=0.543 S=4.521 GP=0.077 r=2.911 a=3.279
  E13  | NMI=0.4606 AMI=0.4483 ARI=0.3256 FMI=0.3966 MI=1.1127 ACC=0.4938
  P21  | NMI=0.5364 AMI=0.5299 ARI=0.4711 FMI=0.5392 MI=1.1832 ACC=0.5815
  avg  | NMI=0.4985 AMI=0.4891 ARI=0.3984 FMI=0.4679 MI=1.1479 ACC=0.5377
Epoch  170 | Loss 4.3284 | R=0.187 A=0.487 S=4.481 GP=0.077 r=2.842 a=3.202
  E13  | NMI=0.4576 AMI=0.4453 ARI=0.3150 FMI=0.3863 MI=1.1099 ACC=0.4783
  P21  | NMI=0.5408 AMI=0.5344 ARI=0.4949 FMI=0.5602 MI=1.1987 ACC=0.5954
